Geography,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada
Economic family type,Economic families and persons not in an economic family,Economic families and persons not in an economic family,Economic families and persons not in an economic family,Economic families and persons not in an economic family,Economic families and persons not in an economic family,Economic families and persons not in an economic family,Economic families and persons not in an economic family,Economic families and persons not in an economic family,Economic families and persons not in an economic family,Economic families and persons not in an economic family,Economic families and persons not in an economic family,Economic families and persons not in an economic family,Economic families (4),Economic families (4),Economic families (4),Economic families (4),Economic families (4),Economic families (4),Economic families (4),Economic families (4),Economic families (4),Economic families (4),Economic families (4),Economic families (4),Persons not in an economic family (8),Persons not in an economic family (8),Persons not in an economic family (8),Persons not in an economic family (8),Persons not in an economic family (8),Persons not in an economic family (8),Persons not in an economic family (8),Persons not in an economic family (8),Persons not in an economic family (8),Persons not in an economic family (8),Persons not in an economic family (8),Persons not in an economic family (8)
Income source,Employment income,Employment income,Employment income,Investment income,Investment income,Investment income,Retirement income,Retirement income,Retirement income,Government transfers,Government transfers,Government transfers,Employment income,Employment income,Employment income,Investment income,Investment income,Investment income,Retirement income,Retirement income,Retirement income,Government transfers,Government transfers,Government transfers,Employment income,Employment income,Employment income,Investment income,Investment income,Investment income,Retirement income,Retirement income,Retirement income,Government transfers,Government transfers,Government transfers
Statistics,"Number with income (x 1,000)",Average income excluding zeros (2015 constant dollars),Median income excluding zeros (2015 constant dollars),"Number with income (x 1,000)",Average income excluding zeros (2015 constant dollars),Median income excluding zeros (2015 constant dollars),"Number with income (x 1,000)",Average income excluding zeros (2015 constant dollars),Median income excluding zeros (2015 constant dollars),"Number with income (x 1,000)",Average income excluding zeros (2015 constant dollars),Median income excluding zeros (2015 constant dollars),"Number with income (x 1,000)",Average income excluding zeros (2015 constant dollars),Median income excluding zeros (2015 constant dollars),"Number with income (x 1,000)",Average income excluding zeros (2015 constant dollars),Median income excluding zeros (2015 constant dollars),"Number with income (x 1,000)",Average income excluding zeros (2015 constant dollars),Median income excluding zeros (2015 constant dollars),"Number with income (x 1,000)",Average income excluding zeros (2015 constant dollars),Median income excluding zeros (2015 constant dollars),"Number with income (x 1,000)",Average income excluding zeros (2015 constant dollars),Median income excluding zeros (2015 constant dollars),"Number with income (x 1,000)",Average income excluding zeros (2015 constant dollars),Median income excluding zeros (2015 constant dollars),"Number with income (x 1,000)",Average income excluding zeros (2015 constant dollars),Median income excluding zeros (2015 constant dollars),"Number with income (x 1,000)",Average income excluding zeros (2015 constant dollars),Median income excluding zeros (2015 constant dollars)
1989,8521,68500,60100,5394,8300,2100,1472,16900,11400,8851,9300,5800,6467,77900,70900,4106,8500,2100,1020,18600,13500,6492,9500,4900,2054,38800,34900,1289,7700,2100,452,13000,8600,2359,8600,8900
1990,8558,66100,57300,5579,8400,2200,1555,17400,11900,9660,9300,5800,6460,75400,68400,4195,8500,2100,1092,19400,13600,6829,9900,5400,2098,37300,32300,1383,8000,2300,463,12600,8300,2831,8000,7500
1991,8471,64400,55000,5231,7700,1900,1574,17800,11600,9823,10100,7100,6448,73400,65400,3938,8000,1900,1114,19600,13100,6924,10800,6600,2023,35700,30800,1292,6800,2100,460,13500,9000,2898,8600,8300
1992,8579,63700,54300,4958,7300,1700,1671,18300,12700,10053,10600,7600,6517,72700,65000,3723,7500,1600,1170,19900,13900,7056,11400,7200,2063,35300,29100,1234,6700,1800,501,14400,10200,2997,8800,8700
1993,8519,62700,54500,4713,6500,1500,1741,19200,13100,9877,11100,8600,6544,70600,63300,3530,6500,1400,1202,21500,15300,6883,12000,8300,1975,36300,30900,1183,6400,1600,538,14000,9200,2994,9100,9300
1994,8591,64000,55400,4363,6300,1400,1805,20000,14000,9969,11100,8400,6548,72800,65600,3278,6500,1300,1237,22100,16000,6869,12000,8000,2043,35600,29500,1085,6000,1700,569,15500,10100,3100,9200,9200
1995,8834,63300,54600,4871,6600,1400,1854,20300,13900,10163,10600,7600,6687,72000,64500,3679,6700,1300,1267,22700,15900,6969,11600,7500,2147,36000,30600,1192,6100,1500,586,15000,10100,3195,8500,7600
1996,8836,64100,53800,4962,6400,1300,1897,20900,14400,10286,10600,7700,6701,73300,64700,3731,6500,1100,1297,23600,17300,6990,11500,7600,2134,35300,29500,1231,6200,1600,600,15000,10100,3296,8500,8100
1997,9003,65300,54800,4550,6100,1100,1991,21200,14900,10266,10500,7500,6829,74600,65700,3409,6300,1000,1357,23600,17400,6975,11300,7100,2174,36000,29300,1141,5300,1300,634,16100,11000,3291,8700,8400
1998,9210,67100,54800,5334,5500,800,2172,22300,15300,10321,10700,7900,6942,77200,66700,4022,5700,700,1480,25200,18500,6994,11700,7800,2268,36400,30300,1312,5100,1000,692,16100,11100,3327,8500,8200
1999,9427,68700,56200,5660,6100,1100,2274,22600,16200,10231,10200,7200,7022,78700,68100,4262,6600,1100,1578,25600,19800,6900,11200,7300,2405,39600,31000,1398,4700,1000,696,16000,10900,3331,8100,6900
2000,9719,70400,56200,5803,5800,900,2340,23100,16600,10576,9700,6400,7209,81400,68800,4347,6300,900,1621,26100,20500,7129,10600,6400,2510,38800,32000,1456,4300,1000,718,16300,11100,3447,7900,6400
2001,9893,70600,55800,5655,6200,900,2443,23900,17200,10777,10200,7100,7313,81900,68500,4221,6500,900,1671,26900,20500,7268,11200,7200,2580,38800,32100,1434,5300,1000,772,17500,11400,3509,8100,6600
2002,10038,70800,56000,5706,5400,800,2523,24700,18600,10635,10500,7900,7406,82000,68000,4238,5600,800,1690,27600,21800,7181,11400,7800,2631,39500,32600,1468,4800,900,833,18800,12200,3455,8500,8100
2003,10283,69700,55400,5509,5700,800,2607,24700,18200,10720,10400,7800,7527,80900,68000,4033,5800,700,1747,27200,21000,7197,11500,8000,2756,39100,31400,1476,5400,900,860,19500,12600,3522,8200,7000
2004,10469,70400,55000,5642,6000,800,2697,25300,19000,11014,10400,7600,7621,82100,69000,4147,6500,800,1809,28300,22000,7413,11500,7900,2848,39100,30800,1495,4400,700,888,19200,13200,3601,8100,6900
2005,10653,71100,55700,5919,5800,700,2720,25700,19000,11139,10300,7300,7727,82900,69900,4350,6100,700,1851,28600,23100,7530,11400,7500,2926,40000,31700,1569,5000,700,868,19500,12800,3609,7900,6400
2006,10777,71400,56800,5878,6200,800,2711,25800,19100,11539,10300,7100,7706,84000,70900,4289,6700,900,1854,28900,22900,7733,11700,7900,3070,40000,32200,1589,4800,800,857,19000,12700,3806,7600,4000
2007,10982,73000,57200,6298,6600,900,2836,26200,19200,11367,10800,8100,7866,85700,72000,4620,7200,900,1909,29300,22900,7607,12200,8500,3117,40800,32000,1677,4800,900,927,19900,13700,3760,8000,6500
2008,11055,74800,59900,6641,6700,900,2854,25600,19100,11855,10600,7700,7921,88000,74500,4899,7500,900,1872,28000,22200,7893,11900,8000,3134,41400,34600,1741,4700,900,982,20800,14700,3961,8200,6700
2009,11134,73300,57900,5988,7500,900,2916,26000,19600,11802,11800,9200,7935,86200,72800,4379,8200,800,1919,28600,22700,7855,13200,9900,3199,41300,34000,1609,5400,900,997,20800,14900,3947,8900,7900
2010,11277,73600,57900,5729,7700,800,2971,25800,19400,12750,11300,8200,7994,86800,73600,4179,8700,800,1965,28200,21800,8402,12800,9000,3283,41600,33300,1550,4800,900,1006,20900,15800,4348,8500,6800
2011,11438,73700,57200,6107,7900,800,3193,25800,19500,12899,11000,7800,8128,87700,73500,4452,8900,900,2084,28900,23000,8457,12400,8300,3310,39200,31900,1655,5300,800,1108,20000,14400,4442,8300,6800
2012,11691,73500,57700,6336,9600,900,3332,26700,20200,12395,11600,9000,8233,87700,74400,4687,11100,900,2250,29500,23300,8163,13300,9900,3458,39500,32400,1649,5400,800,1082,20800,15600,4232,8500,7300
2013,11750,75400,58200,6425,9600,800,3347,27800,20800,12477,11900,9300,8274,89700,75300,4676,10800,900,2204,30800,23900,8246,13500,10300,3476,41500,33800,1749,6400,700,1143,22000,15500,4231,8800,7500
2014,11984,75600,58800,6480,9600,900,3557,28000,21900,12597,11800,9500,8461,90000,75700,4738,10900,900,2359,30700,24200,8248,13400,10600,3523,41000,33000,1741,6200,900,1198,22600,18000,4349,8600,7800
2015,11941,76000,59300,6435,10900,1000,3465,27800,20200,12967,12300,9800,8427,90500,76200,4679,12400,1000,2322,31100,23400,8556,14000,10700,3514,41300,32200,1756,6800,900,1143,21000,15000,4411,8800,8400
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Source: Income Statistics Division, Statistics Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Data quality indicators are based on the coefficient of variation (CV) and number of observations. Quality indicators indicate the following: A - Excellent (CV between 0% and 2%); B - Very good (CV between 2% and 4%); C - Good (CV between 4% and 8%); D - Acceptable (CV between 8% and 16%); E - Use with caution (1976 to 1992: CV greater than or equal to 16%; 1993 and subsequent years: CV between 16% and 33.3% ).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Estimates are based on data from the following surveys: the Survey of Consumer Finances (SCF) from 1976 to 1992, a combination of the SCF and the Survey of Labour and Income Dynamics (SLID) from 1993 to 1997, the SLID from 1998 to 2011 and the Canadian Income Survey (CIS) beginning in 2012. For more information, see Statistics Canada, 2015, ""Revisions to 2006 to 2011 income data"", Income Research Paper Series, Cat. no. 75F0002MIE - No. 003. Also, two previous revisions of income data are described in Cotton, Cathy, 2000, ""Bridging Two Surveys: An Integrated Series of Income Data from SCF and SLID 1989-1997"", Statistics Canada, Cat. No. 75F0002MIE - No. 002, and Lathe, Heather, 2005, ""Survey of Labour and Income Dynamics: 2003 Historical Revision"", Statistics Canada, Cat. No. 75F0002MIE - No. 009.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"An economic family refers to a group of two or more persons who live in the same dwelling and are related to each other by blood, marriage, common-law, adoption or a foster relationship.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"A person not in an economic family is a person living either alone or with others to whom he or she is unrelated, such as roommates or a lodger.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Estimates from the Survey of Consumer Finances include income data for persons aged 15 years and over. Estimates from the Survey of Labour and Income Dynamics and the Canadian Income Survey include income data for persons aged 16 years and over.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Statistics Canada. Table 206-0021 - Income statistics by economic family type and income source, Canada, provinces and selected census metropolitan areas (CMAs), annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(accessed: December 21, 2017)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
